Sample_Name_unif	Sample_Name	species	total_reads	mapped_reads	mapping_efficiency	informative_reads	CpG_meth	avg_meth	CpG_measurements	coveredCpGs	conversionRate	k1_unmeth	k3_meth	totalMeasurements_k1	totalMeasurements_k3	total_reads_untrimmed	[CT]GG	CGG	TGG	[CT]GA	CGA	TGA	others	all_bases_Mio	As	Ts	Cs	Gs	Ns	perc_As	perc_Ts	perc_Cs	perc_Gs	perc_Ns	fragments_ref	fragments_uncovered	fragments_uncovered_perc	max_cont_sp	max_cont	cont	cont_rat	blast_count1	blast_species1	blast_count2	blast_species2	PDR_summ	N_sites	informative_reads_cphpg	CpG_meth_cphpg	avg_meth_cphpg	CpG_measurements_cphpg	coveredCpGs_cphpg	informative_reads_cphph	CpG_meth_cphph	avg_meth_cphph	CpG_measurements_cphph	coveredCpGs_cphph	mean_overlap	min_overlap	max_overlap	conversion_type	res_mapRate_nonMotifReads	min_overlap_perc	max_overlap_perc	PDR_mean	V1	Fortlaufende Nr	Patho-Nr	English	Tierart	scientific_name	sex	age	Entnahme	Tissue	Well_y	Well_x	DNA (ng/µl)	Volume (µl)	DNA prep date	comment	Box	RRBS-status	Experiment ID	pre-BC_CT	Enrichment cycles	Pool	Adapter	FlowCell	lane	renamed	Experiment_new lib prep	pre-BC CT_uc	Adapter_uc	unconverted	renamed_uc	Experiment_unconverted	enrichtment_uc	Flowcell_uc	lane_uc	abbreviation_sp	replicate
ABU_3_H	ABU_3_H_uc	ABU	18927956	16645257	87.94	16511917	92.5433445277	74.2945645908	51584985	2438075	13.4335854766	0.997879	1	91454	347	19082351	17542459	91.82	0.11	100871	0.4	0.13	7.54	973.199901	245206198	234817805	235610288	257323716	241894	25.2	24.13	24.21	26.44	0.02	1820594	1041120	57.19	|NZ_LMIE01000020.1|	28707	153453	0.0080418690982246	32	Xenopus (Silurana) tropicalis	16	Cyprinus carpio	234277	941826	15762141	97.3698506419	88.9952612806	44974598	2628775	16498530	96.5546069055	86.0576858161	129161040	7538013	NA	NA	NA	unconverted	-3.19612265096319	NA	NA	0.248747645531128	1592	4660	Z/610/16	Asian bullfrog	Indischer Ochsenfrosch 4	Hoplobatrachus tigerinus	f	NA	16.06.2016	Heart	B	5	93,0	100	16.11.2016	NA	17	prepped	AK34	8.76	8	2	TruSeq LT Index 19	288	7	NA	NA	NA	NA	ABU_3_H_uc	NA	AK_uc_14	5	329	3	ABU	3
ABU_3_L	ABU_3_L	ABU	24674425	22016862	89.23	21691278	79.5615822527	65.4573314628	67200089	2647191	99.251471038	0.007813	0.983725	91896	41351	25567749	22622126	79.38	9.1	261783	0.76	0.26	10.5	1303.955199	355888447	544794317	61933967	341218832	119636	27.29	41.78	4.75	26.17	0.01	1820594	955396	52.48	|NZ_CBRG010000178.1|	33603	891732	0.0348787435122467	28	Cyprinus carpio	10	Xenopus (Silurana) tropicalis	260368	992422	19636626	1.06207343566	0.90584053845	52512333	2318167	20873289	0.909805461074	0.699893140634	145084148	6592658	1912494.42857143	1069165	2353977	converted	-0.190918830920365	40.3886610373033	88.9235797492512	0.262356134789434	1593	4660	Z/610/16	Asian bullfrog	Indischer Ochsenfrosch 4	Hoplobatrachus tigerinus	f	NA	16.06.2016	Liver	B	6	104,2	100	16.11.2016	NA	17	prepped	AK34	9.5	10	4	TruSeq LT Index 20	292	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABU	3
ABU_4_H	ABU_4_H	ABU	15511974	12239339	78.9	11913080	78.6873586179	65.6905667991	35803372	2601465	99.1692642971	0.008852	0.983489	26662	48393	16949025	12699626	65.42	9.51	190570	0.4	0.72	23.95	864.400275	242999164	358361711	45415596	217450314	173490	28.11	41.46	5.25	25.16	0.02	1820594	947402	52.04	|NZ_CCMH01000026.1|	59134	1435175	0.084681233209641	23	Cyprinus carpio	14	Xenopus (Silurana) tropicalis	281734	926326	10304782	1.15438689453	0.980482347759	26805888	2039845	11165012	1.03795489904	0.787058218872	74817337	5822976	1861171.14285714	1080453	2181433	converted	2.01525432638167	41.5324826588096	83.8540207152508	0.304141306624234	1594	4662	Z/612/16	Asian bullfrog	Indischer Ochsenfrosch 6	Hoplobatrachus tigerinus	m	NA	16.06.2016	Heart	B	7	67,7	100	16.11.2016	NA	17	prepped	AK34	9.11	9	3	TruSeq LT Index 21	288	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABU	4
ABU_4_L	ABU_4_L	ABU	17570889	14222119	80.94	13960628	78.6818576812	66.4828274958	43158557	2854387	99.225019085	0.007331	0.984979	34783	42142	19103910	14741154	68.03	9.14	193101	0.32	0.69	21.83	974.29941	264889140	406390499	52101075	250815916	102780	27.19	41.71	5.35	25.74	0.01	1820594	867175	47.63	|NZ_CBRG010000178.1|	61597	1531439	0.0801702766191494	21	Cyprinus carpio	14	Xenopus (Silurana) tropicalis	276620	1020083	12201577	1.11982058237	0.945684734825	32601774	2284992	13086415	0.983348148847	0.72176598466	90183524	6530073	1994920.14285714	1149628	2345186	converted	1.95868578388673	40.2758280499456	82.1607581592825	0.271174012310763	1595	4662	Z/612/16	Asian bullfrog	Indischer Ochsenfrosch 6	Hoplobatrachus tigerinus	m	NA	16.06.2016	Liver	B	8	66,0	100	16.11.2016	NA	17	prepped	AK34	8.63	8	2	TruSeq LT Index 22	288	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABU	4
AB_1_H	AB_1_H	AB	17915886	14503179	80.95	14212635	70.1030914786	68.8022798033	39844139	3005867	98.8045035251	0.006061	0.984185	495	135887	19516771	7687226	32.56	6.83	9270678	37.89	9.61	13.11	995.355321	295010098	393615257	53839444	252733599	156923	29.64	39.55	5.41	25.39	0.02	1924470	959694	49.87	|NZ_CCMH01000026.1|	68014	1600034	0.0819857636796232	11	Anolis carolinensis	3	Onchocerca ochengi	268738	1286214	8785282	1.41534246316	1.27914778004	20443924	1856399	11119197	1.33001473606	1.18645151366	59799241	5088253	1932324.33333333	1829281	2081243	converted	-4.20021428024809	60.8570172931803	69.2393575630592	0.208937237504801	684	3157	AC/638/14	Abronia	Abronia	Abronia anzuetoi	f	adult	25.07.2014	Heart	F	7	8,9	100	02.06.2016	NA	9	prepped	AK23	7.22	9	3	TruSeq LT Index 20	247	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AB	1
AB_1_L	AB_1_L	AB	25820984	18788076	72.76	18242848	70.1373505804	69.8381018781	60288099	2945274	98.7742079316	0	0.984391	267	9994	26947095	19448000	61.84	10.33	385685	0.69	0.74	26.4	1374.301845	349807683	579644337	67586916	377095130	167779	25.45	42.18	4.92	27.44	0.01	1924470	985565	51.21	|NZ_CBRG010000178.1|	38507	1107278	0.0411159811187267	10	Anolis carolinensis	1	Heteronotia binoei	265675	1330416	15534318	1.65837392301	1.35087541612	42525091	2333665	16933257	1.46960229282	1.18579364734	110206190	6579650	2237317.66666667	1886449	2547205	converted	-0.593969696196702	64.0500340545566	86.4844832772774	0.199693178674941	777	3157	AC/638/14	Abronia	Abronia	Abronia anzuetoi	f	adult	25.07.2014	Liver	F	5	97,5	100	28.06.2016	NA	10	prepped	AK25	10.79	12	10	TruSeq LT Index 5	254	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AB	1
AB_2_L	AB_2_L	AB	25077071	15775689	62.91	15141710	71.9349221984	70.8605662869	47782490	3468644	98.6473332186	0.017833	0.983893	729	175579	26395135	16460034	54.03	8.33	379591	0.17	1.27	36.2	1346.151885	357158107	569167022	61999747	357693833	133176	26.53	42.28	4.61	26.57	0.01	1924470	778271	40.44	|NZ_CBRG010000178.1|	50682	1314746	0.0498152897618062	8	Anolis carolinensis	2	Pelodiscus sinensis	261538	1480136	12848990	1.510079169	1.36331805914	34439579	2728471	14122753	1.33682894713	1.36976218959	91791481	7775515	2443240	2081243	2701272	converted	-0.629325035256028	60.001631761576	77.8768879135478	0.176698627693671	968	2237	AC/395/13	Abronia	Abronia	Abronia anzuetoi	f	NA	04.07.2013	Liver	D	12	104,2	100	02.08.2016	NA	11	prepped	AK26	9.5	8	6	TruSeq LT Index 27	259	3	NA	NA	NA	NA	AB_2_L_uc	NA	AK_uc_02	5	274	6	AB	2
AB_2_L	AB_2_L_uc	AB	17768895	11580889	65.18	11366867	95.0549782274	81.5594069018	39527823	2788706	7.94750635505	0.993333	0.989783	300	2349	18619272	13254155	70.36	0.82	239517	0.47	0.82	27.53	949.582872	218844789	215632428	251202980	263798063	104612	23.05	22.71	26.45	27.78	0.01	1924470	1099390	57.13	|NZ_CBRG010000178.1|	34073	845029	0.0453901737030391	4	Ovis canadensis canadensis	3	Mus musculus	170043	1422039	11010796	98.5521019982	93.594914452	34138779	2895748	11446442	98.1863152129	91.6421126717	91422326	8253533	NA	NA	NA	unconverted	-5.15480843484993	NA	NA	0.119576889241434	968	2237	AC/395/13	Abronia	Abronia	Abronia anzuetoi	f	NA	04.07.2013	Liver	D	12	104,2	100	02.08.2016	NA	11	prepped	AK26	9.5	8	6	TruSeq LT Index 27	259	3	NA	NA	NA	NA	AB_2_L_uc	NA	AK_uc_02	5	274	6	AB	2
AB_2_LU	AB_2_LU	AB	15347118	12960012	84.45	12752564	68.4293324481	69.0252663677	39173102	3013599	98.9209248441	0.011236	0.984274	445	176969	16518362	13800129	71.43	12.12	127733	0.25	0.52	15.68	1007.620082	261864602	411700448	54133703	279822206	99123	25.99	40.86	5.37	27.77	0.01	1924470	836054	43.44	|NZ_CBRG010000178.1|	48108	1165766	0.0705927548212086	10	Anolis carolinensis	3	Mus musculus	251766	1367888	10788948	1.23875160572	1.19969988778	28971829	2433490	11876493	1.0611154149	1.04596634924	78646794	6739596	2269617.33333333	1829281	2701272	converted	0.091923881554248	60.7008762612411	89.6360796509423	0.184054542477162	969	2237	AC/395/13	Abronia	Abronia	Abronia anzuetoi	f	NA	04.07.2013	Lung	E	1	56,1	100	02.08.2016	NA	11	prepped	AK26	7.28	8	2	TruSeq LT Index 1	255	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AB	2
ACO_1_G	ACO_1_G	ACO	17241982	16401818	95.13	16267029	83.2446056255	77.5156508359	52018308	4480629	98.679807558	0.012208	0.98384	4751	432614	18916882	16288641	70.36	15.75	427785	1.57	0.69	11.63	964.760982	243469555	376831966	63948303	280422326	88832	25.24	39.06	6.63	29.07	0.01	1604816	420759	26.22	|NZ_CCMH01000026.1|	69148	1667453	0.088173200207349	6	Boreogadus saida	5	Gadus morhua	206483	2452108	13099212	1.73893175821	1.41030595754	34551297	2443444	14509730	1.69082025191	1.28998979148	88010774	6307601	3242762	3242762	3242762	converted	4.78004184082105	72.3729190700681	72.3729190700681	0.0842063237018924	861	E00004	S00272	Atlantic cod	NA	Gadus morhua	NA	juvenil	NA	Gills	D	1	48,1	22	NA	NA	NWU1	prepped	AK21	9.3	8	5	TruSeq LT Index 22	243	5	NA	AK_uc_newprep	9,17	TruSeq LT Index 4	ACO_1_G_uc	NA	AK_uc_31	7	391	5	ACO	1
ACO_1_G	ACO_1_G_uc	ACO	12193322	11061328	90.72	11036405	97.8919516309	94.0864066791	36278839	2717154	3.1045804687	0.997784	0.992647	311807	272	12564821	11954432	95.01	0.13	49414	0.28	0.12	4.46	640.805871	145605234	144455076	167820713	182881911	42937	22.72	22.54	26.19	28.54	0.01	1604816	949211	59.15	|NZ_CBRG010000178.1|	12198	369896	0.0294415492965033	5	Boreogadus saida	4	Cyprinus carpio	111824	1669389	10098338	99.1708513933	97.5715416014	28858349	2329748	10850542	98.8151488992	96.7415236028	77563643	6003641	NA	NA	NA	unconverted	-3.40825468531916	NA	NA	0.0669849867226872	861	E00004	S00272	Atlantic cod	NA	Gadus morhua	NA	juvenil	NA	Gills	D	1	48,1	22	NA	NA	NWU1	prepped	AK21	9.3	8	5	TruSeq LT Index 22	243	5	NA	AK_uc_newprep	9,17	TruSeq LT Index 4	ACO_1_G_uc	NA	AK_uc_31	7	391	5	ACO	1
ACO_1_M	ACO_1_M	ACO	17311308	16166773	93.39	16053125	74.4498779629	73.7631943107	51775251	3470783	98.9587400841	0.008439	0.984045	711	204699	20170909	16115091	62.12	17.78	1221605	4.25	1.81	14.05	1028.716359	272157920	386967197	75560809	293955750	74683	26.46	37.62	7.35	28.58	0.01	1604816	733544	45.71	|NZ_CBRG010000178.1|	123312	2857898	0.141688170192108	5	Salmo salar	4	Oryzias latipes	250616	1988303	12888520	1.28244201151	1.16654389357	33251042	2248754	14408746	1.24684129115	0.995077970085	85166894	5771611	3242762	3242762	3242762	converted	5.26087445202791	93.4302720740536	93.4302720740536	0.126045175207199	862	E00012	S00272	Atlantic cod	NA	Gadus morhua	NA	juvenil	NA	Muscle	D	2	21,9	22	NA	NA	NWU1	prepped	AK21	8.87	9	4	TruSeq LT Index 23	243	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ACO	1
ACT_1_H	ACT_1_H	ACT	34286564	16793096	48.98	14231348	84.5371789801	69.2479450476	45372828	2360351	98.6550023971	0.022044	0.982991	499	113765	35888688	13999638	33.38	5.63	653975	0.48	1.35	59.17	1830.323088	532833226	819813599	68884137	408677794	114332	29.11	44.79	3.76	22.33	0.01	1303590	569902	43.72	|NZ_CBRG010000178.1|	57746	1599732	0.0445772549030098	4	Cyprinus carpio	2	Gallus gallus	218401	929437	12472934	2.12565649573	1.3790678292	32347720	1242590	13627255	1.94640420287	1.34933492291	77890595	3405801	1383568	1150386	1657184	converted	5.76292026667037	48.7379207583957	70.2092188831237	0.234982037513032	1352	4656	Z/605/16	Asian common toad	Schwarznarbenkroete	Duttaphrynus melanostictus	f	NA	16.06.2016	Heart	F	5	78,7	100	28.09.2016	NA	14	prepped	AK31	9.82	10	2	TruSeq LT Index 10	274	3	NA	NA	NA	NA	ACT_1_H_uc	NA	AK_uc_13	8	315	7	ACT	1
ACT_1_H	ACT_1_H_uc	ACT	15738415	7747806	49.23	7032052	94.008083294	77.5450820424	22523547	1427029	11.795040766	0.940887	0.992118	203	1015	15935512	7553885	46.57	0.83	230946	0.46	0.99	51.15	812.711112	208475967	224873986	185299222	193953063	108874	25.65	27.67	22.8	23.86	0.01	1303590	889044	68.2	|NZ_LMIE01000020.1|	10182	195830	0.0122897182947798	4	Homo sapiens	1	Anaplasma centrale str. Israel	99587	627686	7122502	97.8601259338	92.0286483635	20216722	1413239	7437328	96.895859583	86.872783682	53253019	3882667	NA	NA	NA	unconverted	0.268700576850885	NA	NA	0.158657354154784	1352	4656	Z/605/16	Asian common toad	Schwarznarbenkroete	Duttaphrynus melanostictus	f	NA	16.06.2016	Heart	F	5	78,7	100	28.09.2016	NA	14	prepped	AK31	9.82	10	2	TruSeq LT Index 10	274	3	NA	NA	NA	NA	ACT_1_H_uc	NA	AK_uc_13	8	315	7	ACT	1
ACT_1_L	ACT_1_L	ACT	28100621	11446422	40.73	9590509	85.0331010552	71.0680104096	30176307	1821191	98.8026741162	0.038889	0.980348	180	8803	29229102	8994408	26.5	4.27	245301	0.09	0.74	68.39	1490.684202	421269359	671523608	55789381	341994473	107381	28.26	45.05	3.74	22.94	0.01	1303590	724888	55.61	|NZ_CBRG010000178.1|	43301	1125469	0.0385064333859528	2	Cyprinus carpio	2	Salmo salar	206726	743312	8367164	2.19337969186	1.36154939546	21760797	1003972	9002742	1.83287610826	1.14076356537	53521783	2712856	1173952	920117	1343134	converted	6.44881384442132	50.5228172113743	73.750309550179	0.27811470822481	1353	4656	Z/605/16	Asian common toad	Schwarznarbenkroete	Duttaphrynus melanostictus	f	NA	16.06.2016	Liver	F	6	120,8	100	28.09.2016	NA	14	prepped	AK31	9.14	12	1	TruSeq LT Index 11	274	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ACT	1
ACT_2_H	ACT_2_H	ACT	30550869	15213364	49.8	13676364	84.57202843	72.9490839327	41979558	1589041	98.5768622671	0.011044	0.985813	201015	191155	30910130	14220236	40.35	5.65	510028	0.12	1.53	52.34	1576.41663	435729380	712863916	55449991	371605637	767706	27.64	45.22	3.52	23.57	0.05	1303590	819347	62.85	|NZ_LMIE01000020.1|	13518	354728	0.0114770402897408	3	Cyprinus carpio	3	Danio rerio	210444	687657	11309628	2.11406453152	1.59456372446	30471156	885872	12203086	1.86063247296	1.37308061686	76749463	2373208	1078837.33333333	920117	1166009	converted	1.51320851173921	57.9039181493744	73.3781570141991	0.306030477403706	2488	4656	Z/605/16	Asian common toad	Schwarznarbenkröte	Duttaphrynus melanostictus	f	adult	16.06.2016	Heart	F	2	61,8	100	04.05.2017	NA	20	prepped	AK46	12.51	13	5	TruSeq LT Index 4	356	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ACT	2
